Tag,Word,Freq,Pos,Neg,Neu
STERM,compsci major,0.0007159904534606205,0.0,1.0,0.0
STERM,compsci classes,0.00047732696897374703,0.0,0.5,0.5
STERM,introverted people,0.00047732696897374703,0.0,0.0,1.0
STERM,things within,0.00047732696897374703,0.5,0.5,0.0
COMM,would say,0.003426124197002141,0.75,0.1875,0.0625
COMM,people like,0.00042826552462526765,0.5,0.0,0.5
COMM,like oh,0.00042826552462526765,0.0,0.5,0.5
COMM,oh yeah,0.00042826552462526765,1.0,0.0,0.0
COMM,people around,0.00042826552462526765,0.0,0.0,1.0
COMM,mostly like,0.00042826552462526765,0.0,0.5,0.5
COMM,like none,0.00042826552462526765,0.0,0.0,1.0
COMM,little bit,0.0010706638115631692,0.4,0.2,0.4
COMM,another person,0.00042826552462526765,0.5,0.0,0.5
COMM,hey like,0.00042826552462526765,1.0,0.0,0.0
COMM,need help,0.00042826552462526765,0.5,0.0,0.5
COMM,feel like,0.0032119914346895075,0.13333333333333333,0.26666666666666666,0.6
COMM,felt like,0.00042826552462526765,0.0,0.5,0.5
COMM,like working,0.00042826552462526765,0.5,0.0,0.5
COMM,really like,0.0006423982869379015,1.0,0.0,0.0
COMM,inclusive community,0.00042826552462526765,0.0,1.0,0.0
COMM,different group,0.00042826552462526765,0.5,0.5,0.0
COMM,seems like,0.00042826552462526765,0.0,1.0,0.0
COMM,different things,0.0006423982869379015,0.0,0.0,1.0
COMM,felt less,0.00042826552462526765,0.0,1.0,0.0
COMM,less comfortable,0.00042826552462526765,0.0,1.0,0.0
COMM,use like,0.00042826552462526765,0.5,0.5,0.0
COMM,study group,0.0006423982869379015,0.0,0.0,1.0
COMM,one person,0.00042826552462526765,0.5,0.0,0.5
COMM,ing classes,0.00042826552462526765,0.0,0.5,0.5
COMM,hey real,0.0006423982869379015,0.6666666666666666,0.0,0.3333333333333333
COMM,computer science,0.0008565310492505353,0.25,0.5,0.25
COMM,role model,0.00042826552462526765,1.0,0.0,0.0
COMM,typical student,0.00042826552462526765,0.0,1.0,0.0
COMM,compsci major,0.00042826552462526765,0.0,0.5,0.5
COMM,working together,0.0006423982869379015,0.3333333333333333,0.0,0.6666666666666666
